Graph 1
0, 1, 2
0, 1, 3
0, 1, 4
0, 2, 9
0, 2, 10
0, 3, 7
0, 3, 9
0, 4, 8
0, 4, 10
0, 5, 7
0, 5, 8
0, 5, 9
0, 6, 7
0, 6, 8
0, 6, 10
1, 2, 13
1, 2, 14
1, 3, 11
1, 3, 15
1, 4, 12
1, 4, 16
1, 11, 13
1, 11, 15
1, 12, 14
1, 12, 16
1, 13, 16
1, 14, 15
2, 9, 18
2, 9, 24
2, 10, 19
2, 10, 23
2, 13, 19
2, 13, 24
2, 14, 18
2, 14, 23
2, 18, 24
2, 19, 23
3, 7, 23
3, 7, 25
3, 9, 20
3, 9, 22
3, 11, 15
3, 11, 20
3, 15, 22
3, 20, 23
3, 22, 25
3, 23, 25
4, 8, 24
4, 8, 25
4, 10, 21
4, 10, 22
4, 12, 16
4, 12, 21
4, 16, 22
4, 21, 24
4, 22, 25
4, 24, 25
5, 7, 13
5, 7, 21
5, 8, 15
5, 8, 19
5, 9, 12
5, 9, 17
5, 12, 17
5, 12, 21
5, 13, 17
5, 13, 19
5, 15, 19
5, 15, 21
6, 7, 16
6, 7, 18
6, 8, 14
6, 8, 20
6, 10, 11
6, 10, 17
6, 11, 17
6, 11, 20
6, 14, 17
6, 14, 18
6, 16, 18
6, 16, 20
7, 13, 16
7, 13, 25
7, 16, 18
7, 18, 21
7, 21, 23
7, 23, 25
8, 14, 15
8, 14, 25
8, 15, 19
8, 19, 20
8, 20, 24
8, 24, 25
9, 12, 17
9, 12, 20
9, 17, 22
9, 18, 22
9, 18, 24
9, 20, 24
10, 11, 17
10, 11, 21
10, 17, 22
10, 19, 22
10, 19, 23
10, 21, 23
11, 13, 17
11, 13, 24
11, 15, 21
11, 20, 24
11, 21, 24
12, 14, 17
12, 14, 23
12, 16, 20
12, 20, 23
12, 21, 23
13, 16, 19
13, 17, 25
13, 24, 25
14, 15, 18
14, 17, 25
14, 23, 25
15, 18, 21
15, 18, 22
15, 19, 22
16, 18, 22
16, 19, 20
16, 19, 22
17, 22, 25
18, 21, 24
19, 20, 23
Graph 2
0, 1, 2
0, 1, 3
0, 1, 4
0, 2, 9
0, 2, 10
0, 3, 7
0, 3, 9
0, 4, 8
0, 4, 10
0, 5, 7
0, 5, 8
0, 5, 9
0, 6, 7
0, 6, 8
0, 6, 10
1, 2, 13
1, 2, 14
1, 3, 11
1, 3, 15
1, 4, 12
1, 4, 16
1, 11, 12
1, 11, 14
1, 12, 13
1, 13, 15
1, 14, 16
1, 15, 16
2, 9, 19
2, 9, 24
2, 10, 18
2, 10, 23
